Placa,Codigo Verificacion Placa,Fecha_Emision,Año.del.Permiso,Pago Fisico,Cuotas Permiso,Codigo_SII,Comuna_Propietario,Comuna_Permiso,Valor_Contado,Total_a_Pagar,Año_Fabricacion,TipoVehiculo,Marca,Modelo,Cilindrada,Equipamiento,Combustible,Transmision,Tonelaje,Comuna_Anterior,Comuna_Anterior,Comuna_rev,Fecha_Vencimiento
JGSL-22,3,2021-05-31,2021,Pagado internet,Total,CT166006517,RIO IBAÑEZ,RIO IBAÑEZ,77223,80016,2017,CAMIONETA,MITSUBISHI,L200,2400,Equi,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JJGC-42,3,2021-04-16,2021,Pagado internet,Total,SU059005505,RIO IBAÑEZ,RIO IBAÑEZ,25489,25923,2005,STATION WAGON,DAIHATSU,TERIOS 4X4 DX,1300,Equi,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JJZF-27,4,2021-03-31,2021,Pagado internet,1ra. Cuota,HB077018317,RIO IBAÑEZ,RIO IBAÑEZ,25489,12745,2017,AUTOMOVIL,FIAT,UNO WAY EVO AA FL,1400,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
JJZF-27,4,2021-09-29,2021,Pagado internet,2da. Cuota,HB077018317,RIO IBAÑEZ,RIO IBAÑEZ,25489,13209,2017,AUTOMOVIL,FIAT,UNO WAY EVO AA FL,1400,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LK-8937,6,2021-05-14,2021,Pagado internet,Total,CT235001594,RIO IBAÑEZ,RIO IBAÑEZ,25489,26411,1994,CAMIONETA,TOYOTA,HILUX,2200,Norm,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
GSTV-72,3,2021-03-31,2021,Pagado internet,Total,CT166005915,RIO NEGRO,RIO IBAÑEZ,140466,140466,2015,CAMIONETA,MITSUBISHI,L200,2500,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
ZF-8015,3,2021-03-30,2021,Pagado internet,Total,VN166000893,RIO IBAÑEZ,RIO IBAÑEZ,25489,25489,1993,STATION WAGON,MITSUBISHI,DELICA,2400,Norm,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
GRZY-65,2,2021-03-30,2021,Pagado internet,Total,CT235013314,RIO IBAÑEZ,RIO IBAÑEZ,55923,55923,2014,CAMIONETA,TOYOTA,HILUX,2500,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JBXD-28,8,2021-04-05,2021,Pagado internet,2da. Cuota,SU229029617,RIO IBAÑEZ,RIO IBAÑEZ,57696,31254,2017,STATION WAGON,SUZUKI,VITARA,1600,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-03-31 00:00:00.000
JBXD-28,8,2021-04-06,2021,Pagado internet,Total,SU229029617,RIO IBAÑEZ,RIO IBAÑEZ,51513,52390,2017,STATION WAGON,SUZUKI,VITARA,1600,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
DPFS-61,4,2021-03-31,2021,Pagado internet,Total,CT176030112,COYHAIQUE,RIO IBAÑEZ,25489,25489,2012,CAMIONETA,NISSAN,TERRANO,2500,Norm,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KXFR-92,8,2021-05-10,2021,Pagado internet,Total,CT079020019,RIO IBAÑEZ,RIO IBAÑEZ,136807,141757,2019,CAMIONETA,FORD,RANGER,3200,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
DRWX-71,7,2021-04-07,2021,Pagado internet,Total,SU111002901,RIO IBAÑEZ,RIO IBAÑEZ,25489,25923,2001,STATION WAGON,HYUNDAI,GALLOPER,2500,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
DPDS-68,6,2021-03-30,2021,Pagado internet,Total,CT166004712,RIO IBAÑEZ,RIO IBAÑEZ,28524,28524,2012,CAMIONETA,MITSUBISHI,L200,2500,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
XD-7126,5,2021-05-19,2021,Pagado internet,Total,CT064004604,RIO IBAÑEZ,RIO IBAÑEZ,25489,26411,2004,CAMIONETA,DODGE,DAKOTA,3700,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LFDP-55,5,2021-03-31,2021,Pagado internet,Total,CT176020405,RIO IBAÑEZ,RIO IBAÑEZ,29153,25489,2005,CAMIONETA,NISSAN,ATLAS4X4 3.2,3200,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LJBK-95,8,2021-03-30,2021,Pagado internet,Total,VN166003607,RIO IBAÑEZ,RIO IBAÑEZ,25489,25489,2007,STATION WAGON,MITSUBISHI,OUTLANDER,2400,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
UW-1034,3,2021-04-16,2021,Pagado internet,Total,SU229020107,RIO IBAÑEZ,RIO IBAÑEZ,25489,25923,2007,STATION WAGON,SUZUKI,JIMNY,1300,Equi,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
SF-3922,1,2021-04-16,2021,Pagado internet,Total,CT050006798,RIO IBAÑEZ,RIO IBAÑEZ,25489,25923,1998,CAMIONETA,CHEVROLET,LUV,2300,Equi,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LHJP-78,5,2021-07-05,2021,Pagado internet,Total,CT159000319,RIO IBAÑEZ,RIO IBAÑEZ,56299,60394,2019,CAMIONETA,MAXUS,T60,2800,Full,Dies,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JXGY-14,6,2021-03-19,2021,Pagado internet,Total,VN111009505,RIO IBAÑEZ,RIO IBAÑEZ,30456,25489,2005,MINIBUS PARTICULAR,HYUNDAI,STAREX,2500,Equi,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
BTJY-88,5,2021-04-05,2021,Pagado internet,Total,CT176026009,RIO IBAÑEZ,RIO IBAÑEZ,26821,27277,2009,CAMIONETA,NISSAN,NAVARA,2500,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
DSRP-73,1,2021-03-27,2021,Pagado internet,Total,SU235005912,RIO IBAÑEZ,RIO IBAÑEZ,27726,27726,2012,STATION WAGON,TOYOTA,RAV 4 2.4,2400,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LKGB-42,9,2021-04-09,2021,Pagado internet,Total,CT166006619,RIO IBAÑEZ,RIO IBAÑEZ,125407,127543,2019,CAMIONETA,MITSUBISHI,L200,2400,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KKJC-87,2,2021-05-19,2021,Pagado internet,Total,SD176023108,RIO IBAÑEZ,RIO IBAÑEZ,25489,26411,2008,STATION WAGON,NISSAN,DUALIS 4X4 AUT,2000,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JJGC-60,1,2021-04-23,2021,Pagado internet,Total,SU176018207,RIO IBAÑEZ,RIO IBAÑEZ,25489,25923,2007,STATION WAGON,NISSAN,X-TRAIL,2500,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KCTT-85,5,2021-04-05,2021,Pagado internet,Total,SU049002118,RIO IBAÑEZ,RIO IBAÑEZ,30590,31110,2018,STATION WAGON,CHERY,TIGGO3,1600,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LBPG-28,K,2021-04-26,2021,Pagado internet,Total,CT166006618,RIO IBAÑEZ,RIO IBAÑEZ,94162,95765,2018,CAMIONETA,MITSUBISHI,L200,2400,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
DF-5123,4,2021-04-06,2021,Pagado internet,Total,CT235001691,RIO IBAÑEZ,RIO IBAÑEZ,25489,25923,1991,CAMIONETA,TOYOTA,HILUX,1800,Norm,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JZWT-42,0,2021-03-22,2021,Pagado internet,Total,SU197005915,RIO IBAÑEZ,RIO IBAÑEZ,38024,38024,2015,STATION WAGON,RENAULT,CAPTUR,1500,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
HXVY-81,9,2021-04-23,2021,Pagado internet,Total,SD160011905,RIO IBAÑEZ,RIO IBAÑEZ,28899,25923,2005,STATION WAGON,MAZDA,PREMACY,2000,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
DBYG-45,1,2021-06-04,2021,Pagado internet,Total,CT235011611,RIO IBAÑEZ,RIO IBAÑEZ,28571,30125,2011,CAMIONETA,TOYOTA,HILUX,2500,Equi,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JRJH-34,6,2021-03-02,2021,Pagado internet,Total,CT160012417,COYHAIQUE,RIO IBAÑEZ,80600,80600,2017,CAMIONETA,MAZDA,BT50,2200,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JRDK-26,6,2021-03-30,2021,Pagado internet,Total,VN243012217,ÑUÑOA,RIO IBAÑEZ,91705,91705,2017,STATION WAGON,VOLKSWAGEN,CADDY,1600,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
BLYP-88,2,2021-03-31,2021,Pagado internet,Total,SU235006608,PROVIDENCIA,RIO IBAÑEZ,81272,81272,2008,JEEP,TOYOTA,FJ CRUSIER,4000,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KHJW-23,2,2021-04-01,2021,Pagado internet,2da. Cuota,CT091004918,LAS CONDES,RIO IBAÑEZ,83196,47398,2018,CAMIONETA,GREAT WALL,WINGLE5,2200,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-03-31 00:00:00.000
KHJW-23,2,2021-04-05,2021,Pagado internet,Total,CT091004918,LAS CONDES,RIO IBAÑEZ,75440,76725,2018,CAMIONETA,GREAT WALL,WINGLE5,2200,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JBCT-52,K,2021-04-05,2021,Pagado internet,Total,SU229027217,LAS CONDES,RIO IBAÑEZ,163267,166048,2017,STATION WAGON,SUZUKI,GRAND NOMADE,2400,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
FZGP-83,6,2021-03-31,2021,Pagado internet,Total,VN079006614,RIO IBAÑEZ,RIO IBAÑEZ,98525,98525,2014,STATION WAGON,FORD,EXPLORER,3500,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
FJDV-65,K,2021-04-05,2021,Pagado internet,Total,HB176004013,LAS CONDES,RIO IBAÑEZ,46165,46951,2013,AUTOMOVIL,NISSAN,TIIDA,1600,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LWTP-94,0,2021-03-31,2021,Pagado internet,Total,NULL,LAS CONDES,RIO IBAÑEZ,193853,193853,2020,CAMIONETA,MAXUS,T60 GL 4X4 2.8,2776,FULL,MEC,MEC,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JFGL-44,0,2021-03-31,2021,Pagado internet,Total,CT225003617,MACUL,RIO IBAÑEZ,219986,219986,2017,CAMIONETA,SSANGYONG,A.SPORTS,2200,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JGGT-76,1,2021-03-03,2021,Pagado internet,Total,HB176006417,CHILLAN,RIO IBAÑEZ,52879,52879,2017,AUTOMOVIL,NISSAN,MARCH,1600,Norm,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KCPX-76,3,2021-03-30,2021,Pagado internet,Total,SD235024618,VITACURA,RIO IBAÑEZ,165144,165144,2018,AUTOMOVIL,TOYOTA,YARIS,1500,NULL,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LLLW-62,1,2021-02-26,2021,Pagado internet,Total,SD227008903,RIO IBAÑEZ,RIO IBAÑEZ,25489,25489,2003,AUTOMOVIL,SUBARU,LEGACY,2000,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
ZF-8194,K,2021-03-15,2021,Pagado internet,Total,SU176002191,RIO IBAÑEZ,RIO IBAÑEZ,25489,25489,1991,STATION WAGON,NISSAN,TERRANO,2400,Equi,DIES,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
HTHX-34,2,2021-03-31,2021,Pagado internet,Total,SU117002216,RIO IBAÑEZ,RIO IBAÑEZ,25489,25489,2016,STATION WAGON,JAC,S3,1500,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
CLHC-81,0,2021-03-08,2021,Pagado internet,Total,SU111008510,RIO IBAÑEZ,RIO IBAÑEZ,25489,25489,2010,STATION WAGON,HYUNDAI,SANTA FE,2400,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KCJR-34,4,2021-03-31,2021,Pagado internet,Total,CT166006618,COYHAIQUE,RIO IBAÑEZ,94162,94162,2018,CAMIONETA,MITSUBISHI,L200,2400,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
CXBC-27,K,2021-05-05,2021,Pagado internet,Total,CT166004711,RIO IBAÑEZ,RIO IBAÑEZ,26554,27514,2011,CAMIONETA,MITSUBISHI,L200,2500,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LWST-99,1,2021-04-06,2021,Pagado internet,Total,NULL,COYHAIQUE,RIO IBAÑEZ,162731,165503,2020,CAMIONETA,MAZDA,BT50,2200,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LZBJ-11,K,2021-04-01,2021,Pagado internet,Total,NULL,COYHAIQUE,RIO IBAÑEZ,162731,165503,2020,CAMIONETA,MAZDA,BT50,2200,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LZBJ-10,1,2021-04-01,2021,Pagado internet,Total,NULL,COYHAIQUE,RIO IBAÑEZ,162731,165503,2020,CAMIONETA,MAZDA,BT50,2200,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
DKHG-45,2,2021-09-30,2021,Pagado internet,Total,NULL,COYHAIQUE,RIO IBAÑEZ,156483,156483,2012,CAMION,FORD,CARGO 3132L,NULL,NORM,DIES,MEC,15000,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-09-30 00:00:00.000
HZKT-42,8,2021-02-26,2021,Pagado internet,Total,SD162035616,MAIPU,RIO IBAÑEZ,196763,196763,2016,AUTOMOVIL,MERCEDES BENZ,CLA,1600,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
CPTW-21,0,2021-03-31,2021,Pagado internet,Total,CT225002411,COYHAIQUE,RIO IBAÑEZ,31340,31340,2011,CAMIONETA,SSANGYONG,A.SPORTS,2000,Full,Diés,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LSBY-33,K,2021-03-30,2021,Pagado internet,Total,CT160012020,COYHAIQUE,RIO IBAÑEZ,162731,162732,2020,CAMIONETA,MAZDA,BT50,2200,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KGVX-15,2,2021-04-07,2021,Pagado internet,Total,SU111021518,COYHAIQUE,RIO IBAÑEZ,82002,83398,2018,STATION WAGON,HYUNDAI,TUCSON,2000,NULL,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KGVY-52,3,2021-04-05,2021,Pagado internet,Total,CT160012018,COYHAIQUE,RIO IBAÑEZ,105280,107074,2018,CAMIONETA,MAZDA,BT50,2200,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
FHHV-30,9,2021-03-09,2021,Pagado internet,Total,SD050025213,COYHAIQUE,RIO IBAÑEZ,25489,25489,2013,STATION WAGON,CHEVROLET,OPTRA,1600,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
DZXT-74,K,2021-03-30,2021,Pagado internet,Total,CT106000212,LAS CONDES,RIO IBAÑEZ,59677,59676,2012,CAMIONETA,HONDA,RIDGELINE,3500,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
FCDW-38,6,2021-03-30,2021,Pagado internet,Total,CT050026812,LAS CONDES,RIO IBAÑEZ,27867,27867,2012,CAMIONETA,CHEVROLET,COLORADO,3700,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
DZXW-75,0,2021-03-30,2021,Pagado internet,Total,CT050026812,LAS CONDES,RIO IBAÑEZ,27867,27867,2012,CAMIONETA,CHEVROLET,COLORADO,3700,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
BGLW-36,5,2021-03-30,2021,Pagado internet,Total,SU229019008,RIO IBAÑEZ,RIO IBAÑEZ,25489,25489,2008,STATION WAGON,SUZUKI,GRAND VITARA,1600,Equi,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
FFKJ-37,0,2021-04-05,2021,Pagado internet,Total,CT176030512,LAS CONDES,RIO IBAÑEZ,26607,27060,2012,CAMIONETA,NISSAN,TERRANO,2500,Equi,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
GCCR-60,5,2021-03-30,2021,Pagado internet,Total,CT176029314,COYHAIQUE,RIO IBAÑEZ,34624,34624,2014,CAMIONETA,NISSAN,TERRANO,2500,Norm,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
HBWR-85,1,2021-03-30,2021,Pagado internet,Total,CT176031715,COYHAIQUE,RIO IBAÑEZ,51333,51333,2015,CAMIONETA,NISSAN,NAVARA,2500,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
HBWS-49,1,2021-04-05,2021,Pagado internet,Total,CT176031715,COYHAIQUE,RIO IBAÑEZ,51333,52208,2015,CAMIONETA,NISSAN,NAVARA,2500,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
HFSB-97,6,2021-04-26,2021,Pagado internet,Total,CT160012516,COYHAIQUE,RIO IBAÑEZ,77134,78447,2016,CAMIONETA,MAZDA,BT50,2200,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JBXG-83,3,2021-03-30,2021,Pagado internet,Total,SU229027417,COYHAIQUE,RIO IBAÑEZ,28196,28196,2017,JEEP,SUZUKI,JIMNY,1300,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JBXG-84,1,2021-03-30,2021,Pagado internet,Total,SU229027417,COYHAIQUE,RIO IBAÑEZ,28196,28196,2017,Cuadrimoto,SUZUKI,JIMNY,1300,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JJGF-68,K,2021-03-30,2021,Pagado internet,Total,SU229024017,COYHAIQUE,RIO IBAÑEZ,39879,39879,2017,JEEP,SUZUKI,GRAND VITARA,2400,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KCJP-94,5,2021-03-30,2021,Pagado internet,Total,SU229027418,COYHAIQUE,RIO IBAÑEZ,30965,30965,2018,JEEP,SUZUKI,JIMNY,1300,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KCJP-95,3,2021-03-30,2021,Pagado internet,Total,CT160012618,COYHAIQUE,RIO IBAÑEZ,139199,139200,2018,CAMIONETA,MAZDA,BT50,3200,Full,Diés,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KGVS-75,0,2021-03-30,2021,Pagado internet,Total,CT166006918,COYHAIQUE,RIO IBAÑEZ,75815,75815,2018,CAMIONETA,MITSUBISHI,L200,2400,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KGVS-76,9,2021-03-30,2021,Pagado internet,Total,CT166006418,COYHAIQUE,RIO IBAÑEZ,83978,83978,2018,CAMIONETA,MITSUBISHI,L200,2400,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KGVS-77,7,2021-03-30,2021,Pagado internet,Total,SU229027418,COYHAIQUE,RIO IBAÑEZ,30965,30965,2018,JEEP,SUZUKI,JIMNY,1300,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KGVS-78,5,2021-03-30,2021,Pagado internet,Total,SU229027418,COYHAIQUE,RIO IBAÑEZ,30965,30965,2018,JEEP,SUZUKI,JIMNY,1300,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KKJB-14,0,2021-03-31,2021,Pagado internet,1ra. Cuota,SU229024018,COYHAIQUE,RIO IBAÑEZ,141029,70515,2018,JEEP,SUZUKI,GRAND VITARA,2400,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-08-31 00:00:00.000
KKJB-14,0,2021-09-13,2021,Pagado internet,2da. Cuota,SU229024018,COYHAIQUE,RIO IBAÑEZ,141029,73083,2018,JEEP,SUZUKI,GRAND VITARA,2400,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JFWS-70,7,2021-03-31,2021,Pagado internet,Total,VN132011617,CHILE CHICO,RIO IBAÑEZ,122377,122377,2017,STATION WAGON,KIA MOTORS,GRAND CARNIVAL,2200,Full,Diés,Aut,0,38,CHILE CHICO,CHILE CHICO,2022-03-31 00:00:00.000
FVKT-30,9,2021-03-17,2021,Pagado internet,2da. Cuota,CT235013013,VIÑA DEL MAR,RIO IBAÑEZ,213589,121044,2013,CAMIONETA,TOYOTA,TUNDRA,5700,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2021-03-31 00:00:00.000
FVKT-30,9,2021-04-23,2021,Pagado internet,Total,CT235013013,VIÑA DEL MAR,RIO IBAÑEZ,192541,195820,2013,CAMIONETA,TOYOTA,TUNDRA,5700,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LSBV-25,K,2021-03-22,2021,Pagado internet,Total,CT159000320,RIO IBAÑEZ,RIO IBAÑEZ,66726,66726,2020,CAMIONETA,MAXUS,T60,2800,Full,Diés,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
UK-9030,1,2021-03-31,2021,Pagado internet,Total,SD229002101,RIO IBAÑEZ,RIO IBAÑEZ,25489,25489,2001,STATION WAGON,SUZUKI,BALENO,1300,Equi,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JRJV-15,3,2021-03-22,2021,Pagado internet,Total,SU050011717,RIO IBAÑEZ,RIO IBAÑEZ,60803,60802,2017,STATION WAGON,CHEVROLET,TRACKER,1800,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
FCKF-15,1,2021-03-31,2021,Pagado internet,Total,SU121002612,PEÑALOLEN,RIO IBAÑEZ,77316,77316,2012,STATION WAGON,JEEP,COMPASS,2400,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
FJYT-74,K,2021-03-31,2021,Pagado internet,Total,CT235013313,RIO IBAÑEZ,RIO IBAÑEZ,47760,47760,2013,CAMIONETA,TOYOTA,HILUX,2500,Full,Dies,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
FVPH-63,4,2021-03-11,2021,Pagado internet,Total,CT235013613,TEMUCO,RIO IBAÑEZ,64438,64438,2013,CAMIONETA,TOYOTA,HILUX,3000,Full,Diés,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KVJV-33,9,2021-04-06,2021,Pagado internet,Total,CT160012218,TEMUCO,RIO IBAÑEZ,144829,147297,2018,CAMIONETA,MAZDA,BT50,3200,Full,Dies,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
DCXR-78,8,2021-03-31,2021,Pagado internet,Total,HB132003211,RIO IBAÑEZ,RIO IBAÑEZ,25489,25489,2011,AUTOMOVIL,KIA MOTORS,MORNING,1100,Equi,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
FPXB-58,1,2021-03-31,2021,Pagado internet,Total,SD132014613,LINARES,RIO IBAÑEZ,40348,40348,2013,AUTOMOVIL,KIA MOTORS,RIO,1400,Full,Benc,Mec,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
LZBL-61,9,2021-03-31,2021,Pagado internet,Total,NULL,COYHAIQUE,RIO IBAÑEZ,286391,269484,2020,CAMIONETA,FORD,F150XLT4X4 5.0 AUT,5000,FULL,BENC,AUT,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
KHRH-22,7,2021-05-05,2021,Pagado internet,Total,VN166006418,COYHAIQUE,RIO IBAÑEZ,180296,186820,2018,STATION WAGON,MITSUBISHI,MONTERO,3200,Full,Diés,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
JRJJ-44,K,2021-09-30,2021,Pagado internet,Total,SU111004606,RIO IBAÑEZ,RIO IBAÑEZ,25489,28366,2006,STATION WAGON,HYUNDAI,SANTA FE,2200,Full,Benc,Aut,0,264,RIO IBAÑEZ,RIO IBAÑEZ,2022-03-31 00:00:00.000
